Model,Algorithm,N_Clusters,Silhouette,Davies_Bouldin,Calinski_Harabasz
KMeans_K2,K-Means,2,0.3818,1.0798,1592.5
KMeans_K3,K-Means,3,0.3556,1.0948,1424.9
KMeans_K4,K-Means,4,0.3046,1.1352,1301.0
KMeans_K5,K-Means,5,0.2731,1.2255,1197.2
KMeans_K6,K-Means,6,0.2768,1.1748,1124.0
Agglomerative_ward,Hierarchical,4,0.2707,1.1921,1103.1
Agglomerative_complete,Hierarchical,4,0.1952,1.258,595.3
Agglomerative_average,Hierarchical,4,0.355,0.795,592.8
GMM_full,GMM,4,0.2543,1.2915,1098.6
GMM_tied,GMM,4,0.301,1.1491,1286.4
GMM_diag,GMM,4,0.273,1.167,1167.5
